Role,Skills
Software Engineer,"Java, Python, C, C++, C#, JavaScript, TypeScript, Swift, Kotlin, Ruby, PHP, Go, Rust, Assembly, Perl, Objective-C, Scala, Dart, F#, R, HTML, CSS, React.js, Angular, Vue.js, Svelte, Next.js, Nuxt.js, Ember.js, Backbone.js, Bootstrap, Tailwind CSS, Material-UI, SASS, LESS, Node.js, Express.js, NestJS, Django, Flask, Spring Boot, Ruby on Rails, ASP.NET Core, GraphQL, gRPC, RESTful APIs, SOAP, FastAPI, Ktor, Micronaut, MySQL, PostgreSQL, MS SQL Server, Oracle, SQLite, MongoDB, Cassandra, CouchDB, DynamoDB, Redis, Neo4j, Firebase Firestore, InfluxDB, TimescaleDB, Snowflake, Redshift, BigQuery, Apache Hive, AWS, GCP, Microsoft Azure, Docker, Kubernetes, OpenShift, Podman, Helm, Terraform, Ansible, Chef, Puppet, Jenkins, GitHub Actions, GitLab CI, CircleCI, ArgoCD, Prometheus, Grafana, Datadog, Splunk, ELK Stack, Agile, Scrum, Kanban, Extreme Programming, TDD, BDD, Git, SVN, Mercurial, Linux, Windows, macOS, Bash scripting, PowerShell, HTTP, HTTPS, TCP/IP, UDP, WebSockets, SSL/TLS, OAuth, JWT, SAML, OpenID Connect, Ethical Hacking, Penetration Testing, Firewalls, IDS/IPS, AES, RSA, SHA, MD5, NumPy, Pandas, Scikit-learn, TensorFlow, PyTorch, Keras, NLTK, SpaCy, Hugging Face Transformers, OpenCV, YOLO"
Software Developer,"Requirements Gathering, System Design, Development, Testing, Deployment, Maintenance, Git, GitHub, GitLab, Bitbucket, Jenkins, GitHub Actions, GitLab CI, CircleCI, Agile, Scrum, Kanban, Waterfall, Lean, DevSecOps, Object-Oriented Programming, Functional Programming, Reactive Programming, Concurrent & Parallel Programming, MEAN Stack, MERN Stack, LAMP Stack, JAMstack, Monolithic, Microservices, Serverless, Event-Driven, MVC, MVVM, Singleton, Factory, Observer, Dependency Injection, Domain-Driven Design, Clean Architecture, Hexagonal Architecture, Android (Kotlin, Java, Jetpack Compose), iOS (Swift, Objective-C, SwiftUI), Cross-Platform (Flutter, React Native, Xamarin, Ionic), Unity (C#), Unreal Engine (C++), Godot (GDScript), CryEngine, OpenGL, Vulkan, DirectX, WebGL, Arduino, Raspberry Pi, ESP32, STM32, PIC, AVR, FreeRTOS, VxWorks, Yocto Project, CAN Bus, SPI, I2C, UART, Apache Hadoop, Apache Spark, Kafka, Flink, Hive, Storm, Cassandra, CockroachDB, Solidity, Ethereum, Hyperledger, Polkadot, Rust, Web3.js, Smart Contracts, NFTs, Cryptography"
Frontend Developer,"HTML, CSS, JavaScript, TypeScript, React.js, Angular, Vue.js, Svelte, Ember.js, Backbone.js, Next.js, Nuxt.js, Remix, Solid.js, Tailwind CSS, Bootstrap, Material-UI, Ant Design, Chakra UI, Bulma, Redux, Context API, Zustand, Recoil, Vuex, Pinia, NgRx, Webpack, Babel, Vite, Parcel, NPM, Yarn, PNPM, Lazy Loading, Code Splitting, Server-Side Rendering, Client-Side Rendering, Progressive Web Apps, Git, GitHub, GitLab, Bitbucket, Jest, React Testing Library, Cypress, Mocha, Jasmine, WebSockets, WebRTC, Service Workers, IndexedDB, LocalStorage, SessionStorage, SEO, A/B Testing, Accessibility (WCAG), Lighthouse"
Backend Developer,"Java, Python, C#, Go, PHP, Ruby, JavaScript (Node.js), Rust, Kotlin, Spring Boot, Django, Flask, FastAPI, Express.js, NestJS, ASP.NET Core, Laravel, Ruby on Rails, PostgreSQL, MySQL, MS SQL Server, Oracle, MongoDB, Redis, Cassandra, DynamoDB, CouchDB, Neo4j, Amazon Neptune, RESTful APIs, GraphQL, gRPC, WebSockets, RPC, OAuth, JWT, OpenID Connect, SAML, LDAP, Argon2, bcrypt, SHA, AES, Redis, Memcached, RabbitMQ, Apache Kafka, ActiveMQ, Docker, Kubernetes, Jenkins, GitHub Actions, Terraform, Ansible"
Full Stack Developer,"MERN Stack, MEAN Stack, LAMP Stack, JAMstack"
DevOps Engineer,"Linux, Windows Server, Docker, Kubernetes, OpenShift, Podman, Terraform, Ansible, Chef, Puppet, SaltStack, Jenkins, GitHub Actions, GitLab CI/CD, CircleCI, ArgoCD, Prometheus, Grafana, Datadog, Splunk, ELK Stack, Nginx, Apache, HAProxy, Load Balancers, SSL/TLS, Firewall Management"
Cloud Engineer,"AWS, GCP, Microsoft Azure, Terraform, AWS CloudFormation, IAM, AWS KMS, Azure Active Directory, VPC, Route 53, Cloud CDN"
Data Engineer,"SQL, Python, Scala, Java, Apache Hadoop, Apache Spark, Apache Flink, Hive, Airflow, Snowflake, Amazon Redshift, BigQuery, Apache NiFi, Kafka, AWS Glue, Azure Data Factory, PostgreSQL, MySQL, MongoDB, Cassandra"
Data Scientist,"Python, R, Julia, SQL, TensorFlow, PyTorch, Scikit-learn, Keras, Matplotlib, Seaborn, Plotly, Power BI, Tableau, Bayesian Inference, Regression, Hypothesis Testing, Spark, Dask, Hadoop"
Machine Learning Engineer,"TensorFlow, PyTorch, ONNX, Scikit-learn, Hugging Face Transformers, OpenCV, SpaCy, FastAPI, Flask, TensorFlow Serving, Kubernetes, MLflow, AWS SageMaker, Google AI Platform, Azure ML"
Cybersecurity Engineer,"Penetration Testing, Ethical Hacking, Risk Assessment, Wireshark, Burp Suite, Metasploit, Nmap, AES, RSA, SHA, bcrypt, NIST, ISO 27001, OWASP Top 10, Firewalls, VPNs, IDS/IPS"
QA Engineer,"Unit Testing, Integration Testing, Regression Testing, Load Testing, Selenium, Cypress, Playwright, Jest, Mocha, JMeter, Locust, Gatling, Robot Framework, Cucumber"
Embedded Systems Engineer,"C, C++, Rust, Assembly, STM32, Arduino, Raspberry Pi, ESP32, FreeRTOS, VxWorks, Yocto Project, CAN Bus, SPI, I2C, UART"
Game Developer,"Unity, Unreal Engine, Godot, CryEngine, OpenGL, Vulkan, DirectX, WebGL, Box2D, Bullet Physics, NavMesh, Lua, Python"
Mobile Developer,"Kotlin, Java, Jetpack Compose, Swift, Objective-C, SwiftUI, Flutter, React Native, Xamarin, Firebase, Realm DB, GraphQL"
Blockchain Developer,"Ethereum, Hyperledger, Polkadot, Binance Smart Chain, Solidity, Vyper, Rust (for Solana), Bitcoin, Ethereum, Ripple, Cardano, Web3.js, Ethers.js, SHA-256, Blake2, ECDSA"
